 1: 5011.858887, 5011.858887 avg loss, 0.000000 rate, 19.888952 seconds, 64 images
 2: 5012.908203, 5011.963867 avg loss, 0.000000 rate, 20.420040 seconds, 128 images
 3: 5013.581055, 5012.125488 avg loss, 0.000000 rate, 20.839005 seconds, 192 images
 4: 5013.812012, 5012.293945 avg loss, 0.000000 rate, 21.420072 seconds, 256 images
 5: 5013.653320, 5012.429688 avg loss, 0.000000 rate, 22.023064 seconds, 320 images
 6: 5012.226562, 5012.409180 avg loss, 0.000000 rate, 22.621624 seconds, 384 images
 7: 5010.216797, 5012.189941 avg loss, 0.000000 rate, 22.262072 seconds, 448 images
 8: 5016.062500, 5012.577148 avg loss, 0.000000 rate, 22.073726 seconds, 512 images
 9: 5011.708496, 5012.490234 avg loss, 0.000000 rate, 22.073414 seconds, 576 images
 10: 5013.042480, 5012.545410 avg loss, 0.000000 rate, 22.306043 seconds, 640 images
 11: 4321.475098, 4943.438477 avg loss, 0.000000 rate, 19.695166 seconds, 704 images
 12: 4323.739258, 4881.468750 avg loss, 0.000000 rate, 19.828800 seconds, 768 images
 13: 4324.937500, 4825.815430 avg loss, 0.000000 rate, 19.784979 seconds, 832 images
 14: 4324.900879, 4775.724121 avg loss, 0.000000 rate, 19.831610 seconds, 896 images
 15: 4322.243164, 4730.375977 avg loss, 0.000000 rate, 19.861684 seconds, 960 images
 16: 4326.458008, 4689.984375 avg loss, 0.000000 rate, 19.900399 seconds, 1024 images
 17: 4322.583984, 4653.244141 avg loss, 0.000000 rate, 19.834305 seconds, 1088 images
 18: 4323.097656, 4620.229492 avg loss, 0.000000 rate, 19.714686 seconds, 1152 images
 19: 4322.728027, 4590.479492 avg loss, 0.000000 rate, 19.825075 seconds, 1216 images
 20: 4320.556641, 4563.487305 avg loss, 0.000000 rate, 19.947851 seconds, 1280 images
 21: 3993.981445, 4506.536621 avg loss, 0.000000 rate, 18.452066 seconds, 1344 images
 22: 3994.605713, 4455.343750 avg loss, 0.000000 rate, 18.539695 seconds, 1408 images
 23: 3992.830566, 4409.092285 avg loss, 0.000000 rate, 18.541635 seconds, 1472 images
 24: 3990.345215, 4367.217773 avg loss, 0.000000 rate, 18.613329 seconds, 1536 images
 25: 3990.638672, 4329.560059 avg loss, 0.000000 rate, 18.630200 seconds, 1600 images
 26: 3987.004150, 4295.304688 avg loss, 0.000000 rate, 18.594518 seconds, 1664 images
 27: 3984.988525, 4264.272949 avg loss, 0.000000 rate, 18.549926 seconds, 1728 images
 28: 3981.149170, 4235.960449 avg loss, 0.000000 rate, 18.547913 seconds, 1792 images
 29: 3977.864258, 4210.150879 avg loss, 0.000000 rate, 18.546463 seconds, 1856 images
 30: 3975.886475, 4186.724609 avg loss, 0.000000 rate, 18.595672 seconds, 1920 images
 31: 3076.447266, 4075.696777 avg loss, 0.000000 rate, 14.151002 seconds, 1984 images
 32: 3072.476807, 3975.374756 avg loss, 0.000000 rate, 14.276962 seconds, 2048 images
 33: 3067.327637, 3884.570068 avg loss, 0.000000 rate, 14.259140 seconds, 2112 images
 34: 3065.821533, 3802.695312 avg loss, 0.000000 rate, 14.277840 seconds, 2176 images
 35: 3060.346924, 3728.460449 avg loss, 0.000000 rate, 14.242936 seconds, 2240 images
 36: 3054.612549, 3661.075684 avg loss, 0.000000 rate, 14.264679 seconds, 2304 images
 37: 3050.027100, 3599.970703 avg loss, 0.000000 rate, 14.232890 seconds, 2368 images
 38: 3041.738770, 3544.147461 avg loss, 0.000000 rate, 14.262949 seconds, 2432 images
 39: 3035.703125, 3493.302979 avg loss, 0.000000 rate, 14.259714 seconds, 2496 images
 40: 3025.261230, 3446.498779 avg loss, 0.000000 rate, 14.256307 seconds, 2560 images
 41: 1405.483765, 3242.397217 avg loss, 0.000000 rate, 7.129450 seconds, 2624 images
 42: 1400.528320, 3058.210449 avg loss, 0.000000 rate, 7.196478 seconds, 2688 images
 43: 1396.173584, 2892.006836 avg loss, 0.000000 rate, 7.196333 seconds, 2752 images
 44: 1391.502808, 2741.956543 avg loss, 0.000000 rate, 7.178869 seconds, 2816 images
 45: 1387.171509, 2606.478027 avg loss, 0.000000 rate, 7.191774 seconds, 2880 images
